Stationid,Stationname En,Exitid,Exitname Zh Tw,Exitposition Positionlon,Exitposition Positionlat,layer,stationid,exitid,groovy code,,,"exit """
BL01,Dingpu,1,頂埔站出口1,121.418218,24.959306,,TaiwanStation_DingBuDingpu,TaiwanStation_DingBuDingpu_1,"exit ""TaiwanStation_DingBuDingpu_1"" with { short_name ""1"" coords { lat 121.418218; lon 24.959306 } layer 0 }",,,""" with { short_name """
BL01,Dingpu,2,頂埔站出口2,121.419,24.95931,,TaiwanStation_DingBuDingpu,TaiwanStation_DingBuDingpu_2,"exit ""TaiwanStation_DingBuDingpu_2"" with { short_name ""2"" coords { lat 121.419; lon 24.95931 } layer 0 }",,,""" coords { lat"
BL01,Dingpu,3,頂埔站出口3,121.4196,24.95962,,TaiwanStation_DingBuDingpu,TaiwanStation_DingBuDingpu_3,"exit ""TaiwanStation_DingBuDingpu_3"" with { short_name ""3"" coords { lat 121.4196; lon 24.95962 } layer 0 }",,,; lon
BL01,Dingpu,4,頂埔站出口4,121.4201,24.96039,,TaiwanStation_DingBuDingpu,TaiwanStation_DingBuDingpu_4,"exit ""TaiwanStation_DingBuDingpu_4"" with { short_name ""4"" coords { lat 121.4201; lon 24.96039 } layer 0 }",,, } layer
BL02,Yongning,1,永寧站出口1,121.435254,24.966714,,TaiwanStation_YongZhuYongning,TaiwanStation_YongZhuYongning_1,"exit ""TaiwanStation_YongZhuYongning_1"" with { short_name ""1"" coords { lat 121.435254; lon 24.966714 } layer 0 }",,,}
BL02,Yongning,2,永寧站出口2,121.43568,24.966102,,TaiwanStation_YongZhuYongning,TaiwanStation_YongZhuYongning_2,"exit ""TaiwanStation_YongZhuYongning_2"" with { short_name ""2"" coords { lat 121.43568; lon 24.966102 } layer 0 }",,,
BL02,Yongning,3,永寧站出口3,121.436799,24.966947,,TaiwanStation_YongZhuYongning,TaiwanStation_YongZhuYongning_3,"exit ""TaiwanStation_YongZhuYongning_3"" with { short_name ""3"" coords { lat 121.436799; lon 24.966947 } layer 0 }",,,
BL02,Yongning,4,永寧站出口4,121.436412,24.967191,,TaiwanStation_YongZhuYongning,TaiwanStation_YongZhuYongning_4,"exit ""TaiwanStation_YongZhuYongning_4"" with { short_name ""4"" coords { lat 121.436412; lon 24.967191 } layer 0 }",,,
BL03,Tucheng,1,土城站出口1,121.444173,24.973251,,TaiwanStation_TuChengTucheng,TaiwanStation_TuChengTucheng_1,"exit ""TaiwanStation_TuChengTucheng_1"" with { short_name ""1"" coords { lat 121.444173; lon 24.973251 } layer 0 }",,,
BL03,Tucheng,2,土城站出口2,121.443671,24.972663,,TaiwanStation_TuChengTucheng,TaiwanStation_TuChengTucheng_2,"exit ""TaiwanStation_TuChengTucheng_2"" with { short_name ""2"" coords { lat 121.443671; lon 24.972663 } layer 0 }",,,
BL03,Tucheng,3,土城站出口3,121.445266,24.973714,,TaiwanStation_TuChengTucheng,TaiwanStation_TuChengTucheng_3,"exit ""TaiwanStation_TuChengTucheng_3"" with { short_name ""3"" coords { lat 121.445266; lon 24.973714 } layer 0 }",,,
BL04,Haishan,1,海山站出口1,121.448615,24.985375,,TaiwanStation_HaiShanHaishan,TaiwanStation_HaiShanHaishan_1,"exit ""TaiwanStation_HaiShanHaishan_1"" with { short_name ""1"" coords { lat 121.448615; lon 24.985375 } layer 0 }",,,
BL04,Haishan,2,海山站出口2,121.448956,24.985329,,TaiwanStation_HaiShanHaishan,TaiwanStation_HaiShanHaishan_2,"exit ""TaiwanStation_HaiShanHaishan_2"" with { short_name ""2"" coords { lat 121.448956; lon 24.985329 } layer 0 }",,,
BL04,Haishan,3,海山站出口3,121.449127,24.98609,,TaiwanStation_HaiShanHaishan,TaiwanStation_HaiShanHaishan_3,"exit ""TaiwanStation_HaiShanHaishan_3"" with { short_name ""3"" coords { lat 121.449127; lon 24.98609 } layer 0 }",,,
BL05,Far Eastern Hospital,1,亞東醫院站出口1,121.452581,24.998933,,TaiwanStation_YaDongYiYuanFarEasternHospital,TaiwanStation_YaDongYiYuanFarEasternHospital_1,"exit ""TaiwanStation_YaDongYiYuanFarEasternHospital_1"" with { short_name ""1"" coords { lat 121.452581; lon 24.998933 } layer 0 }",,,
BL05,Far Eastern Hospital,2,亞東醫院站出口2,121.452388,24.998252,,TaiwanStation_YaDongYiYuanFarEasternHospital,TaiwanStation_YaDongYiYuanFarEasternHospital_2,"exit ""TaiwanStation_YaDongYiYuanFarEasternHospital_2"" with { short_name ""2"" coords { lat 121.452388; lon 24.998252 } layer 0 }",,,
BL05,Far Eastern Hospital,3,亞東醫院站出口3,121.45287,24.998875,,TaiwanStation_YaDongYiYuanFarEasternHospital,TaiwanStation_YaDongYiYuanFarEasternHospital_3,"exit ""TaiwanStation_YaDongYiYuanFarEasternHospital_3"" with { short_name ""3"" coords { lat 121.45287; lon 24.998875 } layer 0 }",,,
BL06,Fuzhong,1,府中站出口1,121.459077,25.008486,,TaiwanStation_FuZhongFuzhong,TaiwanStation_FuZhongFuzhong_1,"exit ""TaiwanStation_FuZhongFuzhong_1"" with { short_name ""1"" coords { lat 121.459077; lon 25.008486 } layer 0 }",,,
BL06,Fuzhong,2,府中站出口2,121.459501,25.008943,,TaiwanStation_FuZhongFuzhong,TaiwanStation_FuZhongFuzhong_2,"exit ""TaiwanStation_FuZhongFuzhong_2"" with { short_name ""2"" coords { lat 121.459501; lon 25.008943 } layer 0 }",,,
