no.,stationid,start,id_start,end,id_end,pathkind,waykind,LocationHintStructuredHint,time,station_type
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_B_dN,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_3F,from,WALKWAY,PLATFORM_MIDDLE,10,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_B_dN,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,from,ELEVATOR,PLATFORM_MIDDLE,180,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_B_dN,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,from,ESCALATOR,PLATFORM_MIDDLE,210,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,from,ELEVATOR,PLATFORM_MIDDLE,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,from,ESCALATOR,PLATFORM_MIDDLE,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,from,ELEVATOR,PLATFORM_MIDDLE,90,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,from,ESCALATOR,PLATFORM_BACK,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,from,STAIRS,PLATFORM_BACK,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_2,from,ELEVATOR,PLATFORM_MIDDLE,90,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_2,from,ESCALATOR,PLATFORM_MIDDLE,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_2,from,STAIRS,PLATFORM_MIDDLE,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Ssxdxsxl_1,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,from,ELEVATOR,PLATFORM_MIDDLE,120,complex
