no.,stationid,start,id_start,end,id_end,pathkind,waykind,LocationHintStructuredHint,time,station_type
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_3F,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_B_dN,from,WALKWAY,,10,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_3F,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Whxwl_1,from,ELEVATOR,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_3F,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Whxwl_1,from,ESCALATOR,,90,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_3F,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Whxwl_1,from,STAIRS,,90,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_B_dN,from,ELEVATOR,,180,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_B_dN,from,ESCALATOR,,210,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,from,ELEVATOR,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,from,ESCALATOR,,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Ssxdxsxl_1,from,ELEVATOR,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Ssxdxsxl_1,from,ESCALATOR,,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,from,ELEVATOR,,90,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,from,ESCALATOR,,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_G_dE,from,STAIRS,,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Ssxdxsxl_1,from,ELEVATOR,,90,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Ssxdxsxl_1,from,ESCALATOR,,60,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,platform,Platform_Platform_TaiwanNanJingFuXingNanjingFuxing_Ssxdxsxl_1,from,STAIRS,,60,complex
