no.,stationid,start,id_start,end,id_end,pathkind,waykind,LocationHintStructuredHint,time,station_type
,TaiwanStation_NanJingFuXingNanjingFuxing,exit,TaiwanStation_NanJingFuXingNanjingFuxing_1,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,between,ELEVATOR,,180,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,exit,TaiwanStation_NanJingFuXingNanjingFuxing_1,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,between,ESCALATOR,,180,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,exit,TaiwanStation_NanJingFuXingNanjingFuxing_1,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,between,STAIRS,,180,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,exit,TaiwanStation_NanJingFuXingNanjingFuxing_2,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,between,ELEVATOR,,90,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,exit,TaiwanStation_NanJingFuXingNanjingFuxing_2,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,between,ESCALATOR,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,exit,TaiwanStation_NanJingFuXingNanjingFuxing_2,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_1,between,STAIRS,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_2,exit,TaiwanStation_NanJingFuXingNanjingFuxing_3,from,ESCALATOR,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B2_2,exit,TaiwanStation_NanJingFuXingNanjingFuxing_4,from,ESCALATOR,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,exit,TaiwanStation_NanJingFuXingNanjingFuxing_5,from,ESCALATOR,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,exit,TaiwanStation_NanJingFuXingNanjingFuxing_5,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,between,STAIRS,,120,complex
,TaiwanStation_NanJingFuXingNanjingFuxing,exit,TaiwanStation_NanJingFuXingNanjingFuxing_6,facility,TaiwanStation_NanJingFuXingNanjingFuxing_TicketGate_B1,between,STAIRS,,150,complex
