stationid,kind,id,layer
TaiwanStation_ShiLinShilin,facility,TaiwanStation_ShiLinShilin_TicketGate_1F_1,0
TaiwanStation_ShiLinShilin,facility,TaiwanStation_ShiLinShilin_TicketGate_1F_2,0
TaiwanStation_JianTanJiantan,facility,TaiwanStation_JianTanJiantan_TicketGate_1F_1,0
TaiwanStation_JianTanJiantan,facility,TaiwanStation_JianTanJiantan_TicketGate_1F_2,0
TaiwanStation_JianTanJiantan,facility,TaiwanStation_JianTanJiantan_TicketGate_1F_3,0
TaiwanStation_YuanShanYuanshan,facility,TaiwanStation_YuanShanYuanshan_TicketGate_1F_1,0
TaiwanStation_YuanShanYuanshan,facility,TaiwanStation_YuanShanYuanshan_TicketGate_1F_2,0
TaiwanStation_MinQuanXiLuMinquanWRd,facility,TaiwanStation_MinQuanXiLuMinquanWRd_TicketGate_1F_1,0
TaiwanStation_MinQuanXiLuMinquanWRd,facility,TaiwanStation_MinQuanXiLuMinquanWRd_TicketGate_1F_2,0
TaiwanStation_MinQuanXiLuMinquanWRd,facility,TaiwanStation_MinQuanXiLuMinquanWRd_TicketGate_B2_1,-2
TaiwanStation_MinQuanXiLuMinquanWRd,facility,TaiwanStation_MinQuanXiLuMinquanWRd_TicketGate_B2_2,-2
TaiwanStation_MinQuanXiLuMinquanWRd,waypoint,TaiwanStation_MinQuanXiLuMinquanWRd_Concourse_B2_1,-2
TaiwanStation_MinQuanXiLuMinquanWRd,waypoint,TaiwanStation_MinQuanXiLuMinquanWRd_Concourse_B2_2,-2
TaiwanStation_ZhongShanZhongshan,facility,TaiwanStation_ZhongShanZhongshan_TicketGate_B1_1,-1
TaiwanStation_ZhongShanZhongshan,facility,TaiwanStation_ZhongShanZhongshan_TicketGate_B1_2,-1
TaiwanStation_ZhongShanZhongshan,waypoint,TaiwanStation_ZhongShanZhongshan_Concourse_B2_1,-2
TaiwanStation_ZhongShanZhongshan,waypoint,TaiwanStation_ZhongShanZhongshan_Concourse_B2_2,-2
TaiwanStation_ZhongShanZhongshan,waypoint,TaiwanStation_ZhongShanZhongshan_Concourse_B2_3,-2
TaiwanStation_ZhongShanZhongshan,waypoint,TaiwanStation_ZhongShanZhongshan_Concourse_B3_1,-3
TaiwanStation_ZhongShanZhongshan,waypoint,TaiwanStation_ZhongShanZhongshan_Concourse_B3_2,-3
TaiwanStation_QiLiAnQilian,facility,TaiwanStation_QiLiAnQilian_TicketGate_Concourse_1,0
TaiwanStation_QiLiAnQilian,facility,TaiwanStation_QiLiAnQilian_TicketGate_Concourse_2,0
TaiwanStation_ShiPaiShipai,facility,TaiwanStation_ShiPaiShipai_TicketGate_Concourse_1,0
